#vA= 0.500000 m/s
#vK= 0.250000 m/s
#L0= 3.000000 m
#tS= 12.000000 s
#xS= 6.000000 m
# t(s)	xAchiles(m)	xKorytnacka(m)
63.999596 31.999798 18.999899
64.099594 32.049797 19.024899
64.199593 32.099796 19.049898
64.299591 32.149796 19.074898
64.399590 32.199795 19.099897
64.499588 32.249794 19.124897
64.599586 32.299793 19.149897
64.699585 32.349792 19.174896
64.799583 32.399792 19.199896
64.899582 32.449791 19.224895
64.999580 32.499790 19.249895
65.099579 32.549789 19.274895
65.199577 32.599789 19.299894
65.299576 32.649788 19.324894
65.399574 32.699787 19.349894
65.499573 32.749786 19.374893
65.599571 32.799786 19.399893
65.699570 32.849785 19.424892
65.799568 32.899784 19.449892
65.899567 32.949783 19.474892
65.999565 32.999783 19.499891
66.099564 33.049782 19.524891
66.199562 33.099781 19.549891
66.299561 33.149780 19.574890
66.399559 33.199780 19.599890
66.499557 33.249779 19.624889
66.599556 33.299778 19.649889
66.699554 33.349777 19.674889
66.799553 33.399776 19.699888
66.899551 33.449776 19.724888
66.999550 33.499775 19.749887
67.099548 33.549774 19.774887
67.199547 33.599773 19.799887
67.299545 33.649773 19.824886
67.399544 33.699772 19.849886
67.499542 33.749771 19.874886
67.599541 33.799770 19.899885
67.699539 33.849770 19.924885
67.799538 33.899769 19.949884
67.899536 33.949768 19.974884
67.999535 33.999767 19.999884
68.099533 34.049767 20.024883
68.199532 34.099766 20.049883
68.299530 34.149765 20.074883
68.399529 34.199764 20.099882
68.499527 34.249763 20.124882
68.599525 34.299763 20.149881
68.699524 34.349762 20.174881
68.799522 34.399761 20.199881
68.899521 34.449760 20.224880
68.999519 34.499760 20.249880
69.099518 34.549759 20.274879
69.199516 34.599758 20.299879
69.299515 34.649757 20.324879
69.399513 34.699757 20.349878
69.499512 34.749756 20.374878
69.599510 34.799755 20.399878
69.699509 34.849754 20.424877
69.799507 34.899754 20.449877
69.899506 34.949753 20.474876
69.999504 34.999752 20.499876
70.099503 35.049751 20.524876
70.199501 35.099751 20.549875
70.299500 35.149750 20.574875
70.399498 35.199749 20.599874
70.499496 35.249748 20.624874
70.599495 35.299747 20.649874
70.699493 35.349747 20.674873
70.799492 35.399746 20.699873
70.899490 35.449745 20.724873
70.999489 35.499744 20.749872
71.099487 35.549744 20.774872
71.199486 35.599743 20.799871
71.299484 35.649742 20.824871
71.399483 35.699741 20.849871
71.499481 35.749741 20.874870
71.599480 35.799740 20.899870
71.699478 35.849739 20.924870
71.799477 35.899738 20.949869
71.899475 35.949738 20.974869
71.999474 35.999737 20.999868
